id_text;document;mdd_texte_mdd_text;mdd_texte_mhd_text
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Consultations_consultation_ger_08.tei_corpo2.tei_corpo.txt;2.7511829652996846;1.8769716088328077
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Consultations_orthophonie2_san_10.tei_corpo2.tei_corpo.txt;2.8055555555555554;1.9365079365079365
2;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Consultations_orthophonie_san_10.tei_corpo2.tei_corpo.txt;2.796666666666667;2.2683333333333335
3;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Consultations_pedi_gra_06.tei_corpo2.tei_corpo.txt;2.9148211243611586;1.925894378194208
4;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Consultations_pediatrie_lam_08.tei_corpo2.tei_corpo.txt;2.684388757196072;1.8022350152387403
5;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_acc_del_07.tei_corpo2.tei_corpo.txt;3.1467522052927026;2.1908580593424216
6;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_acc_kom_07.tei_corpo2.tei_corpo.txt;3.255039439088519;2.3821209465381243
7;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_ang_jul_07.tei_corpo2.tei_corpo.txt;2.9990272373540856;2.348249027237354
8;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_apiculteur_sd.tei_corpo2.tei_corpo.txt;3.2675668228162027;2.573436208321852
9;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_armee_mer_15.tei_corpo2.tei_corpo.txt;2.550340651021953;1.7476659096643956
10;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_automobile_gue_08.tei_corpo2.tei_corpo.txt;3.3865199449793675;2.437414030261348
11;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_ave_bat_08.tei_corpo2.tei_corpo.txt;3.0507042253521126;2.2863849765258215
12;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_aviation_cfo_15.tei_corpo2.tei_corpo.txt;2.821335419926969;1.933229003651539
13;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_avoixnue_06.tei_corpo2.tei_corpo.txt;3.233189655172414;2.350431034482759
14;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextadu/adu-Adultes_Conversations_bulletin_gur_09.tei_corpo2.tei_corpo.txt;2.7409217877094973;1.8519553072625698
