alors	ADV	alors
racontes	VER:pres	raconter
ah	INT	ah
oui	FNO	oui
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
fin	NOM	fin
la	DET:def	le
page	NOM	page
six	NUM	@card@
tu	PRO:cls	tu
me	PRO:clo	me
racontes	VER:pres	raconter
la	DET:def	le
page	NOM	page
trois	NUM	@card@
.	NOM	<unknown>
là	ADV	là
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
ah	INT	ah
ben	INT	ben
je	PRO:cls	je
te	PRO:clo	te
l'	PRO:clo	le
ai	AUX:pres	avoir
lu	VER:pper	lire
essaye	VER:impe	essayer
de	PRP	de
t'	PRO:clo	te
en	PRP	en
souvenir	NOM	souvenir
Léo-	NAM	<unknown>
Léonard	NAM	<unknown>
voit	VER:pres	voir
une	DET:ind	un
griffure	NOM	griffure
sur	PRP	sur
sa	DET:pos	son
main	NOM	main
oui	FNO	oui
il	PRO:cls	il
voit	VER:pres	voir
une	DET:ind	un
griffure	NOM	griffure
rouge	ADJ	rouge
qui	PRO:rel	qui
saigne	VER:pres	saigner
un	DET:ind	un
tout	DET:ind	tout
petit	ADJ	petit
peu	NOM	peu
après	ADV	après
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
.	NAM	<unknown>
tu	PRO:cls	tu
regardes	VER:pres	regarder
la	DET:def	le
deuxième	ADJ	deuxième
pa-	TRC	pa-
la	DET:def	le
cin-	NOM	<unknown>
quatrième	ADJ	quatrième
page	NOM	page
Léonard	NAM	<unknown>
pleure	VER:pres	pleurer
oui	FNO	oui
et	KON	et
après	ADV	après
il	PRO:cls	il
fait	VER:pres	faire
quoi	INT	quoi
là	ADV	là
.	VER:simp	<unknown>
ben	INT	ben
regarde	VER:impe	regarder
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
fait	VER:pres	faire
.	NAM	<unknown>
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
fait	VER:pres	faire
le	DET:def	le
chat	NOM	chat
là	ADV	là
sur	PRP	sur
l'	DET:def	le
image	NOM	image
.	NAM	<unknown>
ben	INT	ben
il	PRO:cls	il
euh	INT	euh
avec	PRP	avec
sa	DET:pos	son
tête	NOM	tête
il	PRO:cls	il
caresse	VER:pres	caresser
les	DET:def	le
genoux	NOM	genou
oui	FNO	oui
il	PRO:cls	il
frotte	VER:pres	frotter
sa	DET:pos	son
tête	NOM	tête
contre	PRP	contre
les	DET:def	le
jambes	NOM	jambe
de	PRP	de
Léonard	NAM	<unknown>
il	PRO:clsi	il
il	PRO:clsi	il
frotte	VER:pres	frotter
la	DET:def	le
tête	NOM	tête
contre	PRP	contre
jambes	NOM	jambe
Léonard	ADJ	<unknown>
contre	PRP	contre
les	DET:def	le
jambes	NOM	jambe
de	PRP	de
Léonard	NAM	<unknown>
-nard	NAM	<unknown>
voilà	FNO	voilà
j'	PRO:cls	je
arrive	VER:pres	arriver
pas	ADV	pas
eh	INT	eh
ben	INT	ben
regarde	VER:impe	regarder
l'	DET:def	le
image	NOM	image
essaye	VER:pres	essayer
de	PRP	de
te	PRO:clo	te
souvenir	VER:infi	souvenir
tu	PRO:cls	tu
me	PRO:clo	me
l'	PRO:clo	le
as	AUX:pres	avoir
lu	VER:pper	lire
déjà	ADV	déjà
.	VER:simp	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
là	ADV	là
le	DET:def	le
chat	NOM	chat
.	NAM	<unknown>
euh	INT	euh
il	PRO:cls	il
monte	VER:pres	monter
sur	PRP	sur
le	DET:def	le
lit	NOM	lit
ouais	FNO	ouais
le	DET:def	le
chat	NOM	chat
est	VER:pres	être
sur	PRP	sur
le	DET:def	le
lit	NOM	lit
et	KON	et
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:clsi	il
lui	PRO:clo	lui
fait	VER:pres	faire
Léonard	NAM	<unknown>
.	NAM	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
un	DET:ind	un
bisou	NOM	bisou
voilà	FNO	voilà
comme	KON	comme
Léonard	NAM	<unknown>
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
vraiment	ADV	vraiment
mal	ADV	mal
.	VER:simp	<unknown>
mal	ADV	mal
il	PRO:cls	il
fait	VER:pres	faire
un	DET:ind	un
bisou	NOM	bisou
à	PRP	à
Chouchou	NOM	chouchou
sur	PRP	sur
le	DET:def	le
museau	NOM	museau
comme	KON	comme
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
mal	ADV	mal
il	PRO:cls	il
fait	VER:pres	faire
un	DET:ind	un
bisou	NOM	bisou
sur	PRP	sur
le	DET:def	le
chouchou	NOM	chouchou
sur	PRP	sur
le	DET:def	le
museau	NOM	museau
à	PRP	à
Chouchou	NOM	chouchou
sur	PRP	sur
le	DET:def	le
museau	NOM	museau
à	PRP	à
Chouchou	NOM	chouchou
voilà	FNO	voilà
.	NAM	<unknown>
comme	KON	comme
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
mal	ADV	mal
euh	INT	euh
il	PRO:cls	il
est	VER:pres	être
content	ADJ	content
oui	FNO	oui
Léonard	NAM	<unknown>
et	KON	et
Chouchou	NOM	chouchou
sont	VER:pres	être
de	DET:ind	un
nouveau	ADJ	nouveau
copains	NOM	copain
ils	PRO:cls	il
jouent	VER:pres	jouer
Léonard	ADJ	<unknown>
et	KON	et
Chouchou	NOM	chouchou
ils	PRO:cls	il
sont	VER:pres	être
nouveau	ADJ	nouveau
copains	NOM	copain
sont	VER:pres	être
de	DET:ind	un
nouveau	ADJ	nouveau
copains	NOM	copain
ils	PRO:cls	il
jouent	VER:pres	jouer
ensemble	ADV	ensemble
à	PRP	à
sauter	VER:infi	sauter
et	KON	et
à	PRP	à
courir	VER:infi	courir
ils	PRO:cls	il
jouent	VER:pres	jouer
ensemble	ADV	ensemble
à	PRP	à
s-	TRC	s-
à	PRP	à
à	PRP	à
sauter	VER:infi	sauter
et	KON	et
à	PRP	à
courir	VER:infi	courir
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
tu	PRO:cls	tu
me	PRO:clo	me
le	PRO:clo	le
reracontes	VER:pres	<unknown>
encore	ADV	encore
une	DET:ind	un
fois	NOM	fois
tout	ADV	tout
seul	ADJ	seul
si	KON	si
tu	PRO:cls	tu
essaies	VER:pres	essayer
de	PRP	de
me	PRO:clo	me
raconter	VER:infi	raconter
tout	ADV	tout
seul	ADJ	seul
maintenant	ADV	maintenant
non	FNO	non
je	PRO:cls	je
/lis	MLT	<unknown>
veux/	VER:pres	<unknown>
une	DET:ind	un
autre	ADJ	autre
histoire	NOM	histoire
alors	ADV	alors
je	PRO:cls	je
te	PRO:clo	te
raconte	VER:pres	raconter
une	DET:ind	un
je	PRO:cls	je
te	PRO:clo	te
lis	VER:pres	lire
une	DET:ind	un
autre	ADJ	autre
histoire	NOM	histoire
et	KON	et
tu	PRO:cls	tu
me	PRO:clo	me
la	PRO:clo	le
racontes	VER:pres	raconter
.	NAM	<unknown>
d'	PRP	un
accord	NOM	accord
alors	ADV	alors
j'	PRO:cls	je
éteins	VER:pres	éteindre
le	DET:def	le
magnétophone	NOM	magnétophone
.	NAM	<unknown>
