ou	KON	ou
du	PRP:det	du
tout	ADV	tout
pendant	PRP	pendant
que	KON	que
Didou	NAM	<unknown>
monte	VER:pres	monter
sur	PRP	sur
son	DET:pos	son
dos	NOM	dos
Cheval-Papi	NOM	<unknown>
il	PRO:cls	il
bouge	VER:pres	bouger
pas	ADV	pas
parce	TRC	parce
que	KON	que
Di-	NAM	<unknown>
Didou	NAM	<unknown>
il	PRO:cls	il
monte	VER:pres	monter
sur	PRP	sur
son	DET:pos	son
dos	NOM	dos
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
Vincent	NOM:sig	<unknown>
Cheval-Papi	NOM	<unknown>
se	PRO:clo	se
met	VER:pres	mettre
debout	ADV	debout
Didou	NAM	<unknown>
il	PRO:clsi	il
il	PRO:clsi	il
s'	PRO:clo	se
accroche	VER:pres	accrocher
à	PRP	à
son	DET:pos	son
cou	NOM	cou
pour	PRP	pour
pas	ADV	pas
tomber	VER:infi	tomber
bien	ADV	bien
très	ADV	très
bien	ADV	bien
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
.	NAM	<unknown>
Di-	NAM	<unknown>
Cheval-Papi	NOM	<unknown>
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
là	ADV	là
.	NOM:sig	<unknown>
oui	FNO	oui
/ça	MLT	<unknown>
là/	MLT	<unknown>
oui	FNO	oui
Cheval-Papi	NOM	<unknown>
se	PRO:clo	se
lève	VER:pres	lever
fou	ADJ	fou
fou	NOM	fou
fou	ADJ	fou
partout	ADV	partout
hum	FNO	hum
oui	FNO	oui
il	PRO:cls	il
court	VER:pres	courir
partout	ADV	partout
en	PRP	en
poussant	VER:ppre	pousser
des	DET:ind	un
cris	NOM	cri
hi	VER:impe	<unknown>
hi	VER:impe	<unknown>
hi	VER:impe	<unknown>
hi	VER:impe	<unknown>
hi	VER:impe	<unknown>
hi	VER:impe	<unknown>
hi	VER:impe	<unknown>
hi	VER:impe	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
semblant	NOM	semblant
de	PRP	de
manger	VER:infi	manger
il	PRO:cls	il
met	VER:pres	mettre
son	DET:pos	son
nez	NOM	nez
dessus	ADV	dessus
oui	FNO	oui
il	PRO:cls	il
met	VER:pres	mettre
son	DET:pos	son
nez	NOM	nez
dessus	ADV	dessus
et	KON	et
il	PRO:cls	il
fait	VER:pres	faire
semblant	NOM	semblant
de	PRP	de
manger	VER:infi	manger
il	PRO:cls	il
met	VER:pres	mettre
quand	KON	quand
il	PRO:cls	il
voit	VER:pres	voir
quelque	ADJ	<unknown>
chose	NOM	chose
de	PRP	de
bon	INT	bon
à	PRP	à
manger	VER:infi	manger
il	PRO:cls	il
met	VER:pres	mettre
son	DET:pos	son
nez	NOM	nez
dessus	ADV	dessus
il	PRO:cls	il
dit	VER:pres	dire
le	DET:def	le
cheval-Papi	NOM	<unknown>
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
pour	PRP	pour
Cheval-Papi	NOM	<unknown>
oui	FNO	oui
Cheval-Papi	NOM	<unknown>
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
fatigué	VER:pper	fatiguer
alors	ADV	alors
il	PRO:cls	il
fait	VER:pres	faire
tomber	VER:infi	tomber
Didou	NAM	<unknown>
sur	PRP	sur
le	DET:def	le
lit	NOM	lit
et	KON	et
Didou	NAM	<unknown>
crie	VER:pres	crier
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
pour	PRP	pour
aujourd'hui	ADV	aujourd'hui
Cheval-Papi	NOM	<unknown>
et	KON	et
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
Vincent	NAM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
aller	VER:infi	aller
jouer	VER:infi	jouer
avec	PRP	avec
tes	DET:pos	ton
copains	NOM	copain
maintenant	ADV	maintenant
.	VER:simp	<unknown>
hein	INT	hein
.	NAM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
aller	VER:infi	aller
jouer	VER:infi	jouer
avec	PRP	avec
tes	DET:pos	ton
copains	NOM	copain
.	NAM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
encore	ADV	encore
un	DET:ind	un
autre	ADJ	autre
livre	NOM	livre
.	NAM	<unknown>
ouais	FNO	ouais
.	NAM	<unknown>
